A,B,result
Programming paradigm,Pushdown automata,0
Markov chain,Security,0
C (programming language),Arithmetic,1
Public-key cryptography,Mathematical proof,1
Robotics,Web server,0
Prolog,Interface (computing),0
Scope (computer science),Data structure,1
First-order logic,Java (programming language),0
Data type,Performance tuning,0
Computational complexity theory,Relational model,0
Computational problem,Public-key cryptography,0
Internet Protocol Suite,Statistics,0
Robot,Graph theory,1
Transaction processing,Arithmetic,1
Transaction processing,Computer,1
Authentication,Graph (mathematics),0
Robot,Computational complexity theory,1
Computational complexity theory,Problem solving,1
C (programming language),Computing,1
Data mining,Logic,1
Computer programming,Theory of computation,1
Network security,CPU cache,0
Query language,Arithmetic,1
Distributed algorithms,Foundations of mathematics,1
Dynamic memory allocation,Concurrent computing,0
Communications protocol,Predicate logic,0
Inter-process communication,Microcode,0
Distributed algorithms,Integer,1
Computational science,NP-complete,0
Arithmetic,Human-computer interaction,0
Object-oriented programming,Mathematics,1
Parsing,Newton's method,0
Vector processor,Hidden Markov model,0
Ordinary differential equation,Numerical analysis,1
Expert system,Computer,1
Computer architecture,Automated planning and scheduling,0
Knowledge representation and reasoning,Foundations of mathematics,1
Sentiment analysis,Random graph,0
Central processing unit,Logic programming,0
Modular programming,Scripting language,0
Query language,Automata theory,1
Amortized analysis,Shortest path problem,0
Vector processor,Lock (computer science),1
Amortized analysis,Haskell (programming language),0
Data analysis,Perl,0
Cloud computing,Monte Carlo method,0
Malware,Lexical analysis,0
Digital signature,Discrete mathematics,1
Finite element method,Approximation,1
Algebra,Application software,0
Introduction to Algorithms,Theoretical computer science,0
Computer vision,Mathematical optimization,1
Programming language,Data structure,1
Functional programming,Recursion (computer science),1
Halting problem,Mathematics,1
Imperative programming,Computer programming,1
String searching algorithm,Theoretical computer science,1
Programming paradigm,Flow network,0
Visualization (computer graphics),Matrix (mathematics),1
Monte Carlo method,Iterative method,1
Complexity,MATLAB,0
Computational chemistry,Integer,1
Spanning tree,Graph (mathematics),1
Predicate logic,Concurrent computing,0
SQL,Mathematics,1
JavaScript,Eigenvalues and eigenvectors,0
Concurrency (computer science),Parallel algorithm,0
Polymorphism (computer science),Computability,1
Partial differential equation,Superscalar,0
Computer vision,Mathematical induction,1
Quantum mechanics,Hidden line removal,0
Asymptotic analysis,Data type,0
Communications protocol,Central processing unit,0
Stochastic,Probability theory,1
Computer programming,Computational problem,1
Newton's method,Approximation,1
Document classification,Autonomous robot,0
Decision theory,Algorithm,1
Malware,Mutual exclusion,0
Computer vision,Number theory,1
Decision theory,Server (computing),0
Geometric modeling,Computational science,1
Monte Carlo method,Mathematics,1
Data warehouse,Sentiment analysis,0
Profiling (computer programming),Problem solving,1
Atomicity (database systems),Hidden line removal,0
Computer security,Profiling (computer programming),0
Hidden line removal,Logic,1
Programming language,Finite element method,0
Data analysis,Software development,0
Machine learning,Number theory,1
Context-free grammar,Web search engine,0
Microprocessor,Compiler,0
Database,Speech recognition,0
Query optimization,Computer,1
Database,Data,1
Undecidable problem,Problem solving,1
Prolog,Autonomous robot,0
Logic programming,Computational science,1
Routing,Graph (mathematics),1
Markov chain,Lazy evaluation,0
Peer-to-peer,Fourier analysis,0
Data (computing),Parsing,0
Database,Data structure,1
Artificial intelligence,Computational complexity theory,1
Cryptanalysis,Authentication,1
Computational chemistry,Polynomial,1
Image processing,Computer software,0
System call,Assembly language,0
Relational database,Computer science,1
Computer graphics,Graph theory,1
Probability,Linear system,0
Unsupervised learning,Reinforcement learning,0
Algorithm,Iterative method,1
Computer vision,Kinematics,0
Linear programming,Algorithm,1
Robot,Interactivity,0
Server (computing),Software design,0
Computer programming,Boundary value problem,0
Query optimization,Relational model,1
Lexical analysis,Programming language,1
Randomized algorithm,Logic,1
Data mining,Abstraction (computer science),1
Compiler,Lexical analysis,1
Analysis of algorithms,Graph theory,1
GPU,Central processing unit,1
Martingale (probability theory),Computer software,0
Model of computation,Game theory,0
Recurrence relation,3D modeling,0
Database system,Data structure,1
Security,Sparse matrix,0
Visualization (computer graphics),Graphics,1
Fast Fourier transform,Discrete mathematics,1
Concurrency (computer science),Internet Protocol Suite,0
Programming language,First-order logic,0
Mathematical optimization,Variable (computer science),0
Image analysis,Discrete mathematics,1
Malware,Computer security,1
Modular arithmetic,Mathematics,1
Formal methods,Recursion (computer science),0
Linked list,Computational problem,0
Communications protocol,Discrete mathematics,1
Firewall (computing),Type system,0
Model checking,Number theory,1
Software design,Profiling (computer programming),0
Hash table,Computer science,1
Newton's method,Mathematics,1
3D computer graphics,Algorithm,1
Software framework,Computer science,1
Linear algebra,Machine translation,0
Complexity,Problem solving,1
Digital signature,Problem solving,1
Turing machine,Lisp (programming language),0
Information security,Linked list,0
Embedded system,Machine translation,0
Context-free language,JavaScript,0
Kernel (computing),Continuous function,0
Genetic algorithm,Polynomial,1
Computational geometry,Automated theorem proving,0
Logic programming,Stochastic process,0
Mathematical optimization,Mathematics,1
Index (database),Mathematics,1
Kalman filter,Computer graphics,0
Pushdown automata,Internet Protocol Suite,0
Dynamic programming,Polynomial,1
Programming language,Computer programming,1
Genetic algorithm,Object (computer science),0
NP (complexity),Theory of computation,1
Network security,Formal language,0
Scalability,Computer programming,1
Computer architecture,Digital electronics,1
Parsing,Probability theory,0
Relational database,Data structure,1
Hidden line removal,Polynomial,1
Automated theorem proving,Scheduling (computing),0
Scientific modelling,Computing,0
Formal methods,Mathematical induction,1
Random graph,Combinatorics,1
Database normalization,Database,1
Motion planning,Gradient descent,0
Correlation and dependence,Cloud computing,0
Statistical inference,Computational chemistry,0
Neural network,Foundations of mathematics,1
Robotics,Computational science,1
Recommender system,Graph theory,1
Image processing,Mathematics,0
Monad (functional programming),System call,0
Genetic algorithm,Peer-to-peer,0
Automated planning and scheduling,Computational science,1
Formal grammar,Data (computing),1
Human-computer interaction,Pipeline (computing),0
Parsing,Computer,1
Higher-order function,Computational learning theory,0
Signal processing,Propositional calculus,0
Virtual memory,Probability,0
Parallel computing,Time complexity,1
Artificial intelligence,Complexity,1
Knowledge representation and reasoning,Computer science,1
Malware,Data,1
Uncertainty,Algorithm design,0
Design pattern (computer science),Motion planning,0
Congestion control,Computer network,1
Arithmetic logic unit,Neural network,0
Computability,Image processing,0
Automated planning and scheduling,Approximation algorithm,0
File system,Computer,1
Modular arithmetic,Formal methods,0
Programming language,Automata theory,1
Deadlock,Computer programming,1
Parallel algorithm,Computer programming,1
Correlation and dependence,Data,1
Least squares,Database normalization,0
Bioinformatics,Mathematical induction,1
Parsing,Theoretical computer science,1
Formal grammar,Data structure,1
Arithmetic,Question answering,0
Combinational logic,JavaScript,0
Python (programming language),Abstract data type,1
Imperative programming,Computer science,1
Conditional probability,Undecidable problem,0
Neural network,Scientific visualization,0
Database system,Combinational logic,0
Motion planning,Pipeline (computing),0
Concurrency (computer science),Operating system,1
Inheritance (object-oriented programming),Machine translation,0
Vector processor,Shared memory,1
Semantics of programming languages,Computer programming,1
Computational problem,Mathematics,1
Variable (computer science),Web server,0
Combinatorics,Coding theory,0
Malware,Human-computer interaction,0
Data analysis,System call,0
Predicate logic,Computer,0
Concurrent computing,Foundations of mathematics,0
P versus NP problem,Computing,1
Firewall (computing),Security,1
Cryptographic hash function,Data (computing),0
Linear system,Matrix (mathematics),1
Database,Information assurance,0
Reinforcement learning,Pattern recognition,0
Image processing,Economics,0
Kinematics,Recurrence relation,0
Knowledge representation and reasoning,Abstraction (computer science),1
Image analysis,Graph theory,1
Hash table,Shared memory,0
Web server,Rendering (computer graphics),0
Object-oriented programming,Programming language,1
Firewall (computing),Internet Protocol Suite,0
Unsupervised learning,Gradient descent,0
Large deviations theory,Memory hierarchy,0
Hash table,Central processing unit,0
Compiler,Finite-state machine,1
Game theory,Linear algebra,1
Embedded system,Computer,1
Software engineering,Arithmetic,1
Multi-core processor,Computing,1
Software engineering,High-level programming language,1
